position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,29.3,85,51.6,2025-04-07 20:31:18.213,2025-04-07 20:31:18.214,2025-04-07 20:31:18.214,0
Malabe,29.3,85,51.7,2025-04-07 20:36:19.566,2025-04-07 20:36:19.566,2025-04-07 20:36:19.566,0
Malabe,29.3,85,51.7,2025-04-07 20:41:21.092,2025-04-07 20:41:21.092,2025-04-07 20:41:21.092,0
Malabe,29.2,85,51.7,2025-04-07 20:46:22.497,2025-04-07 20:46:22.497,2025-04-07 20:46:22.497,0
Malabe,29.3,85,51.6,2025-04-07 20:51:23.764,2025-04-07 20:51:23.765,2025-04-07 20:51:23.765,0
Malabe,28.9,85,51.7,2025-04-07 20:56:25.062,2025-04-07 20:56:25.062,2025-04-07 20:56:25.062,0
Malabe,28.9,85,51.7,2025-04-07 21:01:26.498,2025-04-07 21:01:26.498,2025-04-07 21:01:26.498,0
Malabe,28.9,85,51.6,2025-04-07 21:06:27.775,2025-04-07 21:06:27.776,2025-04-07 21:06:27.776,0
Malabe,28.9,85,51.7,2025-04-07 21:11:29.024,2025-04-07 21:11:29.024,2025-04-07 21:11:29.024,0
Malabe,28.9,85,51.6,2025-04-07 21:16:30.403,2025-04-07 21:16:30.403,2025-04-07 21:16:30.403,0
Malabe,28.9,85,51.7,2025-04-07 21:21:31.900,2025-04-07 21:21:31.900,2025-04-07 21:21:31.900,0
Malabe,28.9,85,51.7,2025-04-07 21:26:33.264,2025-04-07 21:26:33.264,2025-04-07 21:26:33.264,0
Malabe,28.9,85,51.7,2025-04-07 21:31:34.685,2025-04-07 21:31:34.685,2025-04-07 21:31:34.685,0
Malabe,28.9,85,51.7,2025-04-07 21:36:36.082,2025-04-07 21:36:36.082,2025-04-07 21:36:36.082,0
Malabe,28.9,85,51.7,2025-04-07 21:41:37.414,2025-04-07 21:41:37.414,2025-04-07 21:41:37.414,0
Malabe,28.9,85,51.7,2025-04-07 21:46:38.680,2025-04-07 21:46:38.680,2025-04-07 21:46:38.680,0
Malabe,28.9,86,51.6,2025-04-07 21:51:40.190,2025-04-07 21:51:40.190,2025-04-07 21:51:40.190,0
Malabe,28.9,85,51.7,2025-04-07 21:56:41.855,2025-04-07 21:56:41.856,2025-04-07 21:56:41.856,0
Malabe,28.9,85,51.7,2025-04-07 22:01:46.071,2025-04-07 22:01:46.073,2025-04-07 22:01:46.073,0
Malabe,28.9,85,51.7,2025-04-07 22:06:48.478,2025-04-07 22:06:48.479,2025-04-07 22:06:48.479,0
Malabe,28.9,86,51.7,2025-04-07 22:11:49.817,2025-04-07 22:11:49.818,2025-04-07 22:11:49.818,0
